locusId	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA
14146	b0001	1	7023	190	255	+	thrL	thr operon leader peptide (NCBI)	0.5152	4
14147	b0002	1	7023	337	2799	+	thrA	bifunctional aspartokinase I/homeserine dehydrogenase I (NCBI)	0.5307	67
14148	b0003	1	7023	2801	3733	+	thrB	homoserine kinase (NCBI)	0.5627	22
14149	b0004	1	7023	3734	5020	+	thrC	threonine synthase (NCBI)	0.5284	28
14150	b0005	1	7023	5234	5530	+	yaaX	hypothetical protein (NCBI)	0.5387	11
14151	b0006	1	7023	5683	6459	-	yaaA	hypothetical protein (NCBI)	0.4968	20
14152	b0007	1	7023	6529	7959	-	yaaJ	predicted transporter (NCBI)	0.5332	48
14153	b0008	1	7023	8238	9191	+	talB	transaldolase B (NCBI)	0.5199	30
14154	b0009	1	7023	9306	9893	+	mog	molybdenum cofactor biosynthesis protein (NCBI)	0.5442	16
14155	b0010	1	7023	9928	10494	-	yaaH	conserved inner membrane protein associated with acetate transport (NCBI)	0.5309	16
14156	b0011	1	7023	10643	11356	-	yaaW	hypothetical protein (NCBI)	0.5084	19
14158	b0013	1	7023	11382	11786	-	yaaI	hypothetical protein (NCBI)	0.4889	13
14159	b0014	1	7023	12163	14079	+	dnaK	molecular chaperone DnaK (NCBI)	0.5112	57
14160	b0015	1	7023	14168	15298	+	dnaJ	chaperone Hsp40, co-chaperone with DnaK (NCBI)	0.5517	25
14161	b0016	1	7023	15445	16557	+	insL-1	IS186/IS421 transposase (NCBI)	0.5193	33
14163	b0018	1	7023	16751	16960	-	mokC	regulatory protein for HokC, overlaps CDS of hokC (NCBI)	0.5143	6
1936200	b4412	1	7023	16751	16903	-	hokC	toxic membrane protein, small (NCBI)	0.5294	3
1936201	b4413	6	7023	16952	17006	+	sokC	regulatory antisense RNA (NCBI)	0.4727	4
14164	b0019	1	7023	17489	18655	+	nhaA	pH-dependent sodium/proton antiporter (NCBI)	0.5141	40
14165	b0020	1	7023	18715	19620	+	nhaR	DNA-binding transcriptional activator (NCBI)	0.4746	32
14166	b0021	1	7023	19811	20314	-	insB-1	IS1 transposase InsAB' (NCBI)	0.5456	16
14167	b0022	1	7023	20233	20508	-	insA-1	IS1 repressor protein InsA (NCBI)	0.5290	9
14168	b0023	1	7023	20815	21078	-	rpsT	30S ribosomal protein S20 (NCBI)	0.4659	10
14169	b0024	1	7023	21181	21399	+	yaaY	hypothetical protein (NCBI)	0.4886	8
14170	b0025	1	7023	21407	22348	+	ribF	hypothetical protein (NCBI)	0.5361	31
14171	b0026	1	7023	22391	25207	+	ileS	isoleucyl-tRNA synthetase (NCBI)	0.5577	64
14172	b0027	1	7023	25207	25701	+	lspA	signal peptidase II (NCBI)	0.5354	20
14173	b0028	1	7023	25826	26275	+	fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase) (NCBI)	0.5444	9
14174	b0029	1	7023	26277	27227	+	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (NCBI)	0.5510	25
14175	b0030	1	7023	27293	28207	+	rihC	ribonucleoside hydrolase 3 (NCBI)	0.5628	27
14176	b0031	1	7023	28374	29195	+	dapB	dihydrodipicolinate reductase (NCBI)	0.5341	25
14177	b0032	1	7023	29651	30799	+	carA	carbamoyl-phosphate synthase small subunit (NCBI)	0.5335	32
14178	b0033	1	7023	30817	34038	+	carB	carbamoyl-phosphate synthase large subunit (NCBI)	0.5627	78
14180	b0034	1	7023	34300	34695	+	caiF	transcriptional regulator of cai operon (VIMSS)	0.4596	19
14181	b0035	1	7023	34781	35371	-	caiE	possible synthesis of cofactor for carnitine racemase and dehydratase (VIMSS)	0.5499	16
14182	b0036	1	7023	35377	36162	-	caiD	crotonobetainyl CoA hydratase (RefSeq)	0.5407	21
14183	b0037	1	7023	36271	37824	-	caiC	predicted crotonobetaine CoA ligase:carnitine CoA ligase (RefSeq)	0.5103	47
14184	b0038	1	7023	37898	39115	-	caiB	crotonobetainyl-CoA:carnitineCoA-transferase (NCBI)	0.5263	44
14185	b0039	1	7023	39244	40386	-	caiA	crotonobetaine reductase subunit II, FAD-binding (NCBI)	0.5389	36
14186	b0040	1	7023	40417	41931	-	caiT	L-carnitine/gamma-butyrobetaine antiporter (NCBI)	0.5182	52
14187	b0041	1	7023	42403	43173	+	fixA	probable flavoprotein subunit, carnitine metabolism (VIMSS)	0.5253	18
14188	b0042	1	7023	43188	44129	+	fixB	predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like (NCBI)	0.5669	21
14189	b0043	1	7023	44180	45466	+	fixC	predicted oxidoreductase with FAD/NAD(P)-binding domain (NCBI)	0.5493	33
14190	b0044	1	7023	45463	45750	+	fixX	predicted 4Fe-4S ferredoxin-type protein (NCBI)	0.5694	5
14191	b0045	1	7023	45807	47138	+	yaaU	predicted transporter (NCBI)	0.5330	40
14192	b0046	1	7023	47246	47776	+	kefF	glutathione-regulated potassium-efflux system ancillary protein (NCBI)	0.5461	10
14193	b0047	1	7023	47769	49631	+	kefC	glutathione-regulated potassium-efflux system protein (NCBI)	0.5550	37
14194	b0048	1	7023	49823	50302	+	folA	dihydrofolate reductase (NCBI)	0.5271	15
14195	b0049	1	7023	50380	51222	-	apaH	diadenosinetetraphosphatase (NCBI)	0.5575	26
14196	b0050	1	7023	51229	51606	-	apaG	hypothetical protein (NCBI)	0.5185	12
14197	b0051	1	7023	51609	52430	-	ksgA	dimethyladenosine transferase (NCBI)	0.5304	24
14198	b0052	1	7023	52427	53416	-	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase (NCBI)	0.5636	29
14199	b0053	1	7023	53416	54702	-	surA	peptidyl-prolyl cis-trans isomerase (PPIase) (NCBI)	0.5385	26
14200	b0054	1	7023	54755	57109	-	imp	organic solvent tolerance protein precursor (NCBI)	0.5138	106
14201	b0055	1	7023	57364	58179	+	djlA	Dna-J like membrane chaperone protein (NCBI)	0.5270	20
3446137	b4659	7	7023	58474	59052	+	yabP		0.4249	28
14204	b0058	1	7023	59687	60346	-	rluA	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32) (NCBI)	0.5394	17
14205	b0059	1	7023	60358	63264	-	hepA	ATP-dependent helicase HepA (NCBI)	0.5490	75
14206	b0060	1	7023	63429	65780	-	polB	DNA polymerase II (NCBI)	0.5536	67
14207	b0061	1	7023	65855	66550	-	araD	L-ribulose-5-phosphate 4-epimerase (NCBI)	0.5532	18
14208	b0062	1	7023	66835	68337	-	araA	L-arabinose isomerase (NCBI)	0.5549	32
14209	b0063	1	7023	68348	70048	-	araB	ribulokinase (NCBI)	0.5802	33
14210	b0064	1	7023	70387	71265	+	araC	DNA-binding transcriptional dual regulator (NCBI)	0.5256	28
14211	b0065	1	7023	71351	72115	+	yabI	conserved inner membrane protein (NCBI)	0.5386	18
14212	b0066	1	7023	72229	72927	-	thiQ	thiamin transporter subunit (NCBI)	0.5708	18
14213	b0067	1	7023	72911	74521	-	thiP	thiamin ABC transporter membrane protein (NCBI)	0.5841	37
14214	b0068	1	7023	74497	75480	-	tbpA	thiamin transporter subunit (NCBI)	0.5325	27
14215	b0069	1	7023	75644	77299	-	sgrR	DNA-binding transcriptional regulator (NCBI)	0.5489	43
1936206	b4577	6	7023	77367	77593	+	sgrS	small antisense RNA (NCBI)	0.4758	7
7497338	b4662	1	7023	77388	77519	+	sgrT	Inhibitor of glucose uptake (RefSeq)	0.4697	4
1936207	b0070	1	7023	77621	78799	+	setA	broad specificity sugar efflux system (NCBI)	0.4852	59
14217	b0071	1	7023	78848	79453	-	leuD	isopropylmalate isomerase small subunit (NCBI)	0.5149	15
14218	b0072	1	7023	79464	80864	-	leuC	isopropylmalate isomerase large subunit (NCBI)	0.5575	34
14219	b0073	1	7023	80867	81958	-	leuB	3-isopropylmalate dehydrogenase (VIMSS)	0.5549	26
14220	b0074	1	7023	81958	83529	-	leuA	2-isopropylmalate synthase (NCBI)	0.5299	54
14221	b0075	1	7023	83622	83708	-	leuL	leu operon leader peptide (NCBI)	0.4713	6
14222	b0076	1	7023	84368	85312	+	leuO	probable transcriptional activator for leuABCD operon (VIMSS)	0.4571	41
1936210	b0077	1	7023	85630	87354	+	ilvI	acetolactate synthase III large subunit (NCBI)	0.5293	53
14224	b0078	1	7023	87357	87848	+	ilvH	acetolactate synthase small subunit (NCBI)	0.5020	15
14226	b0080	1	7023	88028	89032	+	fruR	DNA-binding transcriptional dual regulator (NCBI)	0.5493	21
14227	b0081	1	7023	89634	90092	+	mraZ	hypothetical protein (NCBI)	0.5207	12
14228	b0082	1	7023	90094	91035	+	mraW	S-adenosyl-methyltransferase (NCBI)	0.5520	20
14229	b0083	1	7023	91032	91397	+	ftsL	membrane bound cell division protein at septum containing leucine zipper motif (NCBI)	0.5027	7
14230	b0084	1	7023	91413	93179	+	ftsI	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3) (NCBI)	0.5399	73
14231	b0085	1	7023	93166	94653	+	murE	UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase (NCBI)	0.5659	40
14232	b0086	1	7023	94650	96008	+	murF	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase (NCBI)	0.5511	34
14233	b0087	1	7023	96002	97084	+	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase (NCBI)	0.5337	42
14234	b0088	1	7023	97087	98403	+	murD	UDP-N-acetylmuramoyl-L-alanyl-D-glutamatesynthetase (NCBI)	0.5490	41
14235	b0089	1	7023	98403	99647	+	ftsW	integral membrane protein involved in stabilizing FstZ ring during cell division (NCBI)	0.5301	48
14236	b0090	1	7023	99644	100711	+	murG	N-acetylglucosaminyl transferase (NCBI)	0.5609	35
14237	b0091	1	7023	100765	102240	+	murC	UDP-N-acetylmuramate--L-alanine ligase (NCBI)	0.5474	37
14238	b0092	1	7023	102233	103153	+	ddlB	D-alanylalanine synthetase (NCBI)	0.5157	38
14239	b0093	1	7023	103155	103985	+	ftsQ	membrane anchored protein involved in growth of wall at septum (NCBI)	0.5331	25
14240	b0094	1	7023	103982	105244	+	ftsA	cell division protein (NCBI)	0.5210	41
14241	b0095	1	7023	105305	106456	+	ftsZ	cell division protein FtsZ (NCBI)	0.5417	33
14242	b0096	1	7023	106557	107474	+	lpxC	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (NCBI)	0.5109	30
14243	b0097	1	7023	107705	108217	+	yacA	orf, hypothetical protein (VIMSS)	0.5400	12
14244	b0098	1	7023	108279	110984	+	secA	translocase (NCBI)	0.5240	81
14245	b0099	1	7023	111044	111433	+	mutT	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP (NCBI)	0.4923	11
14247	b0101	1	7023	111649	111846	-	yacG	zinc-binding protein (NCBI)	0.5152	0
14248	b0102	1	7023	111856	112599	-	yacF	hypothetical protein (NCBI)	0.5148	22
14249	b0103	1	7023	112599	113219	-	coaE	dephospho-CoA kinase (NCBI)	0.5266	17
14250	b0104	1	7023	113444	114487	+	guaC	guanosine 5'-monophosphate oxidoreductase (NCBI)	0.5134	29
14252	b0106	1	7023	114522	115724	-	hofC	assembly protein in type IV pilin biogenesis, transmembrane protein (NCBI)	0.5195	38
14253	b0107	1	7023	115714	117099	-	hofB	conserved protein with nucleoside triphosphate hydrolase domain (NCBI)	0.5346	52
14254	b0108	1	7023	117109	117549	-	ppdD	predicted major pilin subunit (NCBI)	0.5306	16
14255	b0109	1	7023	117752	118645	-	nadC	nicotinate-nucleotide pyrophosphorylase (NCBI)	0.5313	22
14256	b0110	1	7023	118733	119284	+	ampD	N-acetyl-anhydromuranmyl-L-alanine amidase (NCBI)	0.5380	18
14257	b0111	1	7023	119281	120135	+	ampE	predicted inner membrane protein (NCBI)	0.5205	28
14258	b0112	1	7023	120178	121551	-	aroP	aromatic amino acid transporter (NCBI)	0.5269	59
14259	b0113	1	7023	122092	122856	+	pdhR	transcriptional regulator of pyruvate dehydrogenase complex (NCBI)	0.5582	18
14260	b0114	1	7023	123017	125680	+	aceE	pyruvate dehydrogenase subunit E1 (NCBI)	0.5304	86
14261	b0115	1	7023	125695	127587	+	aceF	dihydrolipoamide acetyltransferase (NCBI)	0.5468	37
14262	b0116	1	7023	127912	129336	+	lpd	dihydrolipoamide dehydrogenase (NCBI)	0.5305	39
14263	b0117	1	7023	129407	131260	-	yacH	hypothetical protein (NCBI)	0.5388	55
14264	b0118	1	7023	131615	134212	+	acnB	aconitate hydratase (NCBI)	0.5589	61
14265	b0119	1	7023	134388	134750	+	yacL	orf, hypothetical protein (VIMSS)	0.5207	8
14266	b0120	1	7023	134788	135582	-	speD	S-adenosylmethionine decarboxylase proenzyme (NCBI)	0.4616	40
14267	b0121	1	7023	135598	136464	-	speE	spermidine synthase (NCBI)	0.5075	30
14268	b0122	1	7023	136570	136917	-	yacC	orf, hypothetical protein (VIMSS)	0.5000	10
14269	b0123	1	7023	137083	138633	+	cueO	multicopper oxidase (laccase) (NCBI)	0.5467	42
14270	b0124	1	7023	138835	141225	-	gcd	glucose dehydrogenase (NCBI)	0.5542	59
14271	b0125	1	7023	141431	141967	+	hpt	hypoxanthine phosphoribosyltransferase (VIMSS)	0.5065	19
14272	b0126	1	7023	142008	142670	-	can	carbonic anhydrase (NCBI)	0.5068	21
14273	b0127	1	7023	142779	143705	+	yadG	predicted transporter subunit: ATP-binding component of ABC superfamily (NCBI)	0.4962	36
14274	b0128	1	7023	143702	144472	+	yadH	predicted transporter subunit: membrane component of ABC superfamily (NCBI)	0.5071	25
14275	b0129	1	7023	144577	145017	+	yadI	predicted PTS Enzyme IIA (NCBI)	0.4921	14
14276	b0130	1	7023	145081	146310	+	yadE	predicted polysaccharide deacetylase lipoprotein (NCBI)	0.4951	50
14277	b0131	1	7023	146314	146694	-	panD	aspartate 1-decarboxylase precursor (NCBI)	0.5249	9
14278	b0132	1	7023	146968	147870	+	yadD	predicted transposase (NCBI)	0.4884	31
14279	b0133	1	7023	147944	148795	-	panC	pantoate--beta-alanine ligase (NCBI)	0.5270	24
14280	b0134	1	7023	148807	149601	-	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase (NCBI)	0.5459	26
14281	b0135	1	7023	149715	150953	-	yadC	predicted fimbrial-like adhesin protein (NCBI)	0.4036	84
14282	b0136	1	7023	151003	151599	-	yadK	predicted fimbrial-like adhesin protein (NCBI)	0.4137	31
14283	b0137	1	7023	151626	152231	-	yadL	predicted fimbrial-like adhesin protein (NCBI)	0.4257	29
14284	b0138	1	7023	152243	152812	-	yadM	putative fimbrial-like protein (VIMSS)	0.4281	30
14285	b0139	1	7023	152829	155426	-	htrE	predicted outer membrane usher protein (NCBI)	0.4334	141
14286	b0140	1	7023	155461	156201	-	ecpD	predicted periplasmic pilin chaperone (NCBI)	0.4440	36
14287	b0141	1	7023	156299	156883	-	yadN	predicted fimbrial-like adhesin protein (NCBI)	0.4479	25
14288	b0142	1	7023	157253	157732	-	folK	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase (NCBI)	0.5000	14
14289	b0143	1	7023	157729	159126	-	pcnB	poly(A) polymerase I (VIMSS)	0.5587	49
14290	b0144	1	7023	159186	160112	-	yadB	glutamyl-Q tRNA(Asp) synthetase (RefSeq)	0.5361	29
14291	b0145	1	7023	160149	160604	-	dksA	DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein (NCBI)	0.5263	12
14292	b0146	1	7023	160782	161486	-	sfsA	sugar fermentation stimulation protein A (NCBI)	0.4936	28
14293	b0147	1	7023	161501	162031	-	yadP	orf, hypothetical protein (VIMSS)	0.5593	13
14294	b0148	1	7023	162105	164534	+	hrpB	helicase, ATP-dependent (VIMSS)	0.5658	68
14295	b0149	1	7023	164730	167264	+	mrcB	penicillin-binding protein 1b (NCBI)	0.5515	67
14296	b0150	1	7023	167484	169727	+	fhuA	ferrichrome outer membrane transporter (NCBI)	0.5125	94
14297	b0151	1	7023	169778	170575	+	fhuC	iron-hydroxamate transporter subunit (NCBI)	0.5689	15
14298	b0152	1	7023	170575	171465	+	fhuD	iron-hydroxamate transporter subunit (NCBI)	0.5466	26
14299	b0153	1	7023	171462	173444	+	fhuB	fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components (NCBI)	0.5976	38
14300	b0154	1	7023	173602	174882	-	hemL	glutamate-1-semialdehyde aminotransferase (NCBI)	0.5550	40
14301	b0155	1	7023	175107	176528	+	clcA	chloride channel protein (NCBI)	0.5387	55
14302	b0156	1	7023	176610	176954	+	yadR	hypothetical protein (NCBI)	0.5072	10
14303	b0157	1	7023	177001	177624	-	yadS	conserved inner membrane protein (NCBI)	0.5369	23
14304	b0158	1	7023	177662	178462	-	btuF	vitamin B12-transporter protein BtuF (NCBI)	0.5293	19
14305	b0159	1	7023	178455	179153	-	pfs	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (NCBI)	0.5236	19
14306	b0160	1	7023	179237	180754	+	dgt	deoxyguanosinetriphosphate triphosphohydrolase (NCBI)	0.4796	67
14307	b0161	1	7023	180884	182308	+	degP	serine endoprotease (protease Do), membrane-associated (NCBI)	0.5396	41
14308	b0162	1	7023	182463	183620	+	yaeG	orf, hypothetical protein (VIMSS)	0.5285	34
14309	b0163	1	7023	183709	184095	-	yaeH	hypothetical protein (NCBI)	0.4444	17
14310	b0164	1	7023	184257	185069	-	yaeI	orf, hypothetical protein (VIMSS)	0.5141	25
14312	b0166	1	7023	185123	185947	-	dapD	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase (NCBI)	0.5309	23
14313	b0167	1	7023	185978	188650	-	glnD	PII uridylyl-transferase (NCBI)	0.5395	81
14314	b0168	1	7023	188712	189506	-	map	methionine aminopeptidase (NCBI)	0.5044	30
1936221	b4414	6	7023	189712	189847	+	tff	unknown RNA (NCBI)	0.5074	8
14315	b0169	1	7023	189874	190599	+	rpsB	30S ribosomal protein S2 (NCBI)	0.5138	18
14316	b0170	1	7023	190857	191708	+	tsf	elongation factor Ts (NCBI)	0.4988	20
14317	b0171	1	7023	191855	192580	+	pyrH	uridylate kinase (NCBI)	0.5275	20
14318	b0172	1	7023	192872	193429	+	frr	ribosome releasing factor (NCBI)	0.5090	13
14319	b0173	1	7023	193521	194717	+	dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase (NCBI)	0.5263	36
14320	b0174	1	7023	194903	195664	+	ispU	undecaprenyl pyrophosphate synthase (NCBI)	0.5000	34
14321	b0175	1	7023	195677	196534	+	cdsA	CDP-diglyceride synthetase (VIMSS)	0.5082	36
14322	b0176	1	7023	196546	197898	+	yaeL	zinc metallopeptidase (NCBI)	0.5092	51
14323	b0177	1	7023	197928	200360	+	yaeT	hypothetical protein (NCBI)	0.5068	105
14324	b0178	1	7023	200482	200967	+	hlpA	periplasmic chaperone (NCBI)	0.5021	9
14325	b0179	1	7023	200971	201996	+	lpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (NCBI)	0.5283	36
14326	b0180	1	7023	202101	202556	+	fabZ	(3R)-hydroxymyristoyl ACP dehydratase (NCBI)	0.5044	11
14327	b0181	1	7023	202560	203348	+	lpxA	UDP-N-acetylglucosamine acyltransferase (NCBI)	0.5311	26
14328	b0182	1	7023	203348	204496	+	lpxB	lipid-A-disaccharide synthase (NCBI)	0.5379	29
14329	b0183	1	7023	204493	205089	+	rnhB	ribonuclease HII (NCBI)	0.5729	12
14330	b0184	1	7023	205126	208608	+	dnaE	DNA polymerase III subunit alpha (NCBI)	0.5495	109
14331	b0185	1	7023	208621	209580	+	accA	acetyl-CoA carboxylase subunit alpha (NCBI)	0.5229	29
14332	b0186	1	7023	209679	211820	+	ldcC	lysine decarboxylase 2, constitutive (NCBI)	0.5089	77
